iter	Passed	Remaining
0	0	81
1	2	106
2	3	109
3	4	106
4	5	110
5	7	112
6	8	111
7	10	117
8	11	116
9	12	112
10	13	112
11	14	109
12	15	106
13	17	106
14	18	105
15	19	103
16	20	101
17	21	99
18	22	97
19	23	95
20	24	92
21	25	91
22	26	89
23	27	87
24	28	85
25	29	83
26	30	81
27	30	79
28	31	77
29	32	75
30	33	74
31	34	73
32	35	72
33	36	70
34	37	69
35	38	68
36	39	67
37	40	66
38	41	65
39	42	63
40	43	62
41	43	60
42	44	58
43	45	57
44	45	56
45	46	54
46	47	53
47	48	52
48	49	51
49	49	49
50	50	48
51	51	47
52	52	46
53	53	45
54	53	44
55	54	43
56	55	41
57	56	40
58	57	39
59	58	38
60	59	37
61	60	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	65	30
68	66	29
69	66	28
70	67	27
71	68	26
72	69	25
73	70	24
74	71	23
75	72	22
76	72	21
77	73	20
78	74	19
79	75	18
80	76	17
81	76	16
82	77	15
83	78	14
84	79	13
85	80	13
86	80	12
87	81	11
88	82	10
89	83	9
90	84	8
91	85	7
92	86	6
93	87	5
94	88	4
95	89	3
96	89	2
97	90	1
98	91	0
99	92	0
