iter	Passed	Remaining
0	0	680
1	1	634
2	1	620
3	2	613
4	3	608
5	3	598
6	4	601
7	4	588
8	5	584
9	5	573
10	6	575
11	6	575
12	7	574
13	8	571
14	8	568
15	9	557
16	9	557
17	10	547
18	10	541
19	10	534
20	11	532
21	11	530
22	12	529
23	13	528
24	13	524
25	13	524
26	14	521
27	14	520
28	15	519
29	16	517
30	16	518
31	17	519
32	17	520
33	18	520
34	18	519
35	19	518
36	19	518
37	20	519
38	21	518
39	21	517
40	22	515
41	22	514
42	23	514
43	23	511
44	23	509
45	24	508
46	24	506
47	25	505
48	26	504
49	26	503
50	27	503
51	27	504
52	28	503
53	28	502
54	29	500
55	29	499
56	30	500
57	30	499
58	31	498
59	31	498
60	32	498
61	32	497
62	33	498
63	33	496
64	34	495
65	35	495
66	35	493
67	35	492
68	36	492
69	36	491
70	37	490
71	38	490
72	38	489
73	39	488
74	39	487
75	40	486
76	40	485
77	41	484
78	41	484
79	42	483
80	42	482
81	43	482
82	43	479
83	43	477
84	44	476
85	44	475
86	45	474
87	45	474
88	46	473
89	46	473
90	47	472
91	47	472
92	48	472
93	48	472
94	49	470
95	49	470
96	50	469
97	50	469
98	51	468
99	51	467
100	52	466
101	52	466
102	53	465
103	54	465
104	54	465
105	55	464
106	55	464
107	56	463
108	56	463
109	57	462
110	57	461
111	58	461
112	58	461
113	59	461
114	59	460
115	60	460
116	60	459
117	61	458
118	61	457
119	62	457
120	62	456
121	63	455
122	63	454
123	64	454
124	64	453
125	65	452
126	65	451
127	66	450
128	66	449
129	67	448
130	67	448
131	68	448
132	68	447
133	69	446
134	69	446
135	70	446
136	70	446
137	71	445
138	71	444
139	72	444
140	72	443
141	73	442
142	73	442
143	74	442
144	74	441
145	75	441
146	76	441
147	76	440
148	77	440
149	77	439
150	78	439
151	78	439
152	79	438
153	79	438
154	80	438
155	80	438
156	81	437
157	81	436
158	82	436
159	83	436
160	83	434
161	83	434
162	84	433
163	85	433
164	85	432
165	85	432
166	86	431
167	87	430
168	87	431
169	88	430
170	88	430
171	89	429
172	89	429
173	90	428
174	90	428
175	91	428
176	92	427
177	92	427
178	93	426
179	93	426
180	94	426
181	94	426
182	95	425
183	95	424
184	96	425
185	96	424
186	97	423
187	98	423
188	98	423
189	99	422
190	99	421
191	100	421
192	100	420
193	101	420
194	101	419
195	102	419
196	102	418
197	103	418
198	103	417
199	104	417
200	104	416
201	105	416
202	106	416
203	106	415
204	107	415
205	107	414
206	108	414
207	108	414
208	109	414
209	110	414
210	110	414
211	111	414
212	111	413
213	112	412
214	112	412
215	113	411
216	113	411
217	114	410
218	115	410
219	115	410
220	116	409
221	116	409
222	117	408
223	117	408
224	118	407
225	118	406
226	119	406
227	119	406
228	120	406
229	121	405
230	121	404
231	122	404
232	122	404
233	123	404
234	124	404
235	124	403
236	125	403
237	125	402
238	126	401
239	126	401
240	127	400
241	127	400
242	128	399
243	128	398
244	129	398
245	129	397
246	130	397
247	130	396
248	131	395
249	131	395
250	132	394
251	132	393
252	133	393
253	133	392
254	134	392
255	134	391
256	135	391
257	135	390
258	136	390
259	136	389
260	137	389
261	138	389
262	138	388
263	139	388
264	139	387
265	140	386
266	140	386
267	141	385
268	141	385
269	142	384
270	142	383
271	143	383
272	143	382
273	144	382
274	144	381
275	145	381
276	145	380
277	146	379
278	146	379
279	147	379
280	148	378
281	148	378
282	149	377
283	149	377
284	150	376
285	150	376
286	151	375
287	151	375
288	152	374
289	152	374
290	153	373
291	154	373
292	154	372
293	155	372
294	155	371
295	156	371
296	156	370
297	157	369
298	157	369
299	157	368
300	158	367
301	158	367
302	159	366
303	159	365
304	160	365
305	160	364
306	161	363
307	161	363
308	162	362
309	162	362
310	163	361
311	163	361
312	164	360
313	164	360
314	165	359
315	166	359
316	166	358
317	167	358
318	167	357
319	168	357
320	168	356
321	169	356
322	169	355
323	170	355
324	170	354
325	171	353
326	171	353
327	172	352
328	172	351
329	172	351
330	173	350
331	173	349
